"satisfaction","customer_type","age","travel_type","class","flight_distance","seat_comfort","time_convenient","food_drink","gate_location","wifi","entertainment","online_support","ease_booking","onboard_service","legroom","baggage","checkin","cleanliness","online_boarding","dep_delay","arr_delay","row_id","structural_zero_flag","arr_delay_res","midfly_delay","log_mid_delay","log_dep_delay"
"satisfied","Loyal Customer",31,"Personal Travel","Eco",3386,3,3,3,3,5,4,5,4,4,4,4,3,4,5,15,1,16958,FALSE,-14.4402010689903,-14,-2.70805020110221,2.77258872223978
"satisfied","Loyal Customer",17,"Personal Travel","Eco",2955,5,5,5,5,4,4,4,4,4,4,4,3,4,3,0,4,17063,FALSE,3.2425357329971,4,1.6094379124341,0
"satisfied","Loyal Customer",59,"Personal Travel","Eco",1014,4,3,3,3,4,4,4,4,1,5,4,2,3,4,0,0,17091,FALSE,-0.757464267002904,0,0,0
"satisfied","Loyal Customer",41,"Personal Travel","Eco Plus",833,5,5,5,5,5,5,4,4,4,4,4,4,4,4,7,24,17169,FALSE,16.3905918920696,17,2.89037175789616,2.07944154167984
"dissatisfied","Loyal Customer",10,"Personal Travel","Eco",2337,2,5,2,2,4,2,3,4,3,2,4,5,4,4,0,0,17173,FALSE,-0.757464267002904,0,0,0
"satisfied","Loyal Customer",42,"Personal Travel","Eco",707,1,1,1,1,2,1,1,4,4,4,4,3,4,4,27,0,17206,FALSE,-27.1863905105803,-27,-3.3322045101752,3.3322045101752
"satisfied","Loyal Customer",21,"Personal Travel","Eco",1180,4,4,4,4,4,4,4,4,1,5,2,5,5,4,0,0,17498,FALSE,-0.757464267002904,0,0,0
"dissatisfied","Loyal Customer",22,"Personal Travel","Eco Plus",2626,2,5,2,3,5,2,5,5,3,3,4,5,5,5,0,0,17614,FALSE,-0.757464267002904,0,0,0
"satisfied","Loyal Customer",29,"Personal Travel","Eco Plus",3078,5,5,5,5,5,4,5,4,4,4,4,4,4,4,0,0,17639,FALSE,-0.757464267002904,0,0,0
"dissatisfied","Loyal Customer",62,"Personal Travel","Eco",2895,2,5,2,3,3,2,3,3,5,4,3,3,4,3,0,0,17652,FALSE,-0.757464267002904,0,0,0
"dissatisfied","Loyal Customer",36,"Personal Travel","Eco",2603,2,5,2,3,3,2,1,3,5,3,3,3,5,3,0,22,17702,FALSE,21.2425357329971,22,3.13549421592915,0
"satisfied","Loyal Customer",60,"Personal Travel","Eco",1052,2,2,2,2,5,5,5,4,4,4,4,5,4,4,0,0,17780,FALSE,-0.757464267002904,0,0,0
"satisfied","Loyal Customer",70,"Personal Travel","Eco",700,1,1,1,1,4,4,4,4,4,4,4,5,4,5,0,0,18011,FALSE,-0.757464267002904,0,0,0
"dissatisfied","Loyal Customer",40,"Personal Travel","Eco",1309,2,5,2,3,2,2,2,2,4,3,5,4,4,2,0,0,18128,FALSE,-0.757464267002904,0,0,0
"dissatisfied","Loyal Customer",55,"Personal Travel","Eco",1590,2,5,2,3,5,2,5,5,4,3,4,3,4,5,0,5,18292,FALSE,4.2425357329971,5,1.79175946922805,0
"satisfied","Loyal Customer",14,"Personal Travel","Eco",2014,4,4,4,4,2,4,5,4,4,4,4,5,4,5,0,0,18413,FALSE,-0.757464267002904,0,0,0
"satisfied","Loyal Customer",21,"Personal Travel","Eco",1250,4,4,4,4,5,4,4,4,4,4,4,4,4,5,0,0,18418,FALSE,-0.757464267002904,0,0,0
"satisfied","Loyal Customer",58,"Personal Travel","Eco",231,1,1,1,1,3,1,3,5,5,4,4,3,5,4,13,9,18462,FALSE,-4.48250282872535,-4,-1.6094379124341,2.63905732961526
"satisfied","Loyal Customer",30,"Personal Travel","Eco",2168,4,4,4,4,4,4,4,4,4,4,5,5,4,3,72,58,18665,FALSE,-13.2346009165426,-14,-2.70805020110221,4.29045944114839
"satisfied","Loyal Customer",54,"Personal Travel","Eco",1016,1,1,1,1,4,4,5,4,4,5,5,3,4,4,0,0,18726,FALSE,-0.757464267002904,0,0,0
"dissatisfied","Loyal Customer",62,"Personal Travel","Eco",1939,2,5,2,4,3,2,3,3,3,5,5,3,4,3,17,4,18797,FALSE,-13.3978993092553,-13,-2.63905732961526,2.89037175789616
"satisfied","Loyal Customer",56,"Personal Travel","Eco",821,2,2,2,2,5,4,4,4,4,4,5,5,4,5,0,2,18823,FALSE,1.2425357329971,2,1.09861228866811,0
"dissatisfied","Loyal Customer",49,"Personal Travel","Eco",1926,2,5,2,4,4,2,4,4,4,1,2,4,1,4,0,0,18920,FALSE,-0.757464267002904,0,0,0
"satisfied","Loyal Customer",41,"Personal Travel","Eco",1636,3,3,3,3,3,5,4,5,5,4,5,5,5,3,0,0,18946,FALSE,-0.757464267002904,0,0,0
"satisfied","Loyal Customer",23,"Personal Travel","Eco",2179,1,1,1,1,4,5,5,5,5,4,5,4,5,4,6,0,18947,FALSE,-6.63055898779788,-6,-1.94591014905531,1.94591014905531
"dissatisfied","Loyal Customer",27,"Personal Travel","Eco",1418,2,5,2,4,2,2,2,2,5,4,5,4,4,2,125,122,19160,FALSE,-1.11360428356489,-3,-1.38629436111989,4.83628190695148
"satisfied","Loyal Customer",52,"Personal Travel","Eco Plus",2104,4,4,2,4,5,5,4,5,5,4,5,5,5,3,1,0,19237,FALSE,-1.7363133871354,-1,-0.693147180559945,0.693147180559945
"satisfied","Loyal Customer",50,"Personal Travel","Eco Plus",1205,3,3,3,3,5,5,4,5,5,5,3,5,5,4,4,0,19663,FALSE,-4.67286074753289,-4,-1.6094379124341,1.6094379124341
"satisfied","Loyal Customer",25,"Personal Travel","Eco",2167,5,5,5,5,5,5,3,5,4,4,5,4,5,5,0,12,19727,FALSE,11.2425357329971,12,2.56494935746154,0
"dissatisfied","Loyal Customer",31,"Personal Travel","Business",1849,2,5,3,4,5,3,5,5,4,1,2,3,5,5,63,68,19752,FALSE,5.57504116464986,5,1.79175946922805,4.15888308335967
"satisfied","Loyal Customer",38,"Personal Travel","Eco",1533,5,2,2,2,5,5,3,5,5,5,4,2,5,5,28,19,19786,FALSE,-9.16523963071279,-9,-2.30258509299405,3.36729582998647
"dissatisfied","Loyal Customer",45,"Personal Travel","Eco",1970,3,0,3,1,5,3,5,5,3,3,5,5,4,5,0,0,19947,TRUE,-0.757464267002904,0,0,0
"satisfied","Loyal Customer",60,"Personal Travel","Eco Plus",300,5,5,5,5,5,5,5,4,4,5,4,3,4,3,0,0,19950,FALSE,-0.757464267002904,0,0,0
"dissatisfied","Loyal Customer",35,"Personal Travel","Eco",1923,3,0,3,4,5,3,5,5,4,5,5,3,4,5,0,20,20178,TRUE,19.2425357329971,20,3.04452243772342,0
"dissatisfied","Loyal Customer",60,"Personal Travel","Business",585,3,1,3,2,2,2,3,1,1,3,1,3,1,2,0,0,20479,FALSE,-0.757464267002904,0,0,0
"dissatisfied","Loyal Customer",29,"Personal Travel","Eco",2345,3,1,3,3,1,3,1,1,3,1,3,4,4,1,0,0,20681,FALSE,-0.757464267002904,0,0,0
"dissatisfied","Loyal Customer",55,"Personal Travel","Eco",2574,3,1,3,3,3,2,2,3,2,2,3,2,4,2,258,234,20684,FALSE,-19.3005372611869,-24,-3.2188758248682,5.55682806169954
"dissatisfied","Loyal Customer",28,"Personal Travel","Eco",1337,3,1,3,3,1,3,1,1,2,3,3,3,3,1,24,21,20791,FALSE,-3.2498431501828,-3,-1.38629436111989,3.2188758248682
"satisfied","Loyal Customer",42,"Personal Travel","Eco",407,4,4,1,4,3,4,2,5,5,5,4,3,5,1,28,27,20831,FALSE,-1.16523963071279,-1,-0.693147180559945,3.36729582998647
"dissatisfied","Loyal Customer",10,"Personal Travel","Eco",2258,3,1,3,4,3,3,3,3,1,5,4,1,4,3,0,0,21011,FALSE,-0.757464267002904,0,0,0
"dissatisfied","Loyal Customer",23,"Personal Travel","Eco",2018,3,1,3,4,5,3,5,5,3,4,3,4,3,5,0,0,21082,FALSE,-0.757464267002904,0,0,0
"dissatisfied","Loyal Customer",39,"Personal Travel","Eco",1890,3,1,3,4,4,3,4,4,3,1,4,1,3,4,1,46,21093,FALSE,44.2636866128646,45,3.8286413964891,0.693147180559945
"satisfied","Loyal Customer",46,"Personal Travel","Eco",290,2,2,2,2,2,4,5,5,5,5,4,4,5,4,0,0,21153,FALSE,-0.757464267002904,0,0,0
"dissatisfied","Loyal Customer",30,"Personal Travel","Eco Plus",3041,3,1,4,4,4,4,4,4,4,1,3,4,4,4,7,31,21236,FALSE,23.3905918920696,24,3.2188758248682,2.07944154167984
"satisfied","Loyal Customer",10,"Personal Travel","Eco",1695,5,4,4,4,3,5,5,5,5,5,5,4,5,4,0,0,21461,FALSE,-0.757464267002904,0,0,0
"satisfied","Loyal Customer",18,"Personal Travel","Eco",1629,1,1,1,1,3,5,4,5,5,5,5,5,5,4,0,17,21672,FALSE,16.2425357329971,17,2.89037175789616,0
"dissatisfied","Loyal Customer",9,"Personal Travel","Eco",2515,3,2,3,3,4,3,4,4,2,1,2,2,3,4,0,0,21685,FALSE,-0.757464267002904,0,0,0
"dissatisfied","Loyal Customer",28,"Personal Travel","Eco",2210,3,2,3,3,4,3,1,4,4,4,3,1,3,4,44,42,21858,FALSE,-1.82682555283272,-2,-1.09861228866811,3.80666248977032
"dissatisfied","Loyal Customer",25,"Personal Travel","Eco",1367,3,2,3,3,5,3,5,5,4,5,4,4,4,5,4,4,21964,FALSE,-0.672860747532887,0,0,1.6094379124341
"satisfied","Loyal Customer",56,"Personal Travel","Eco",1539,3,3,3,3,4,4,5,5,5,5,5,4,5,3,0,0,22068,FALSE,-0.757464267002904,0,0,0
"dissatisfied","Loyal Customer",64,"Personal Travel","Eco",1818,3,2,3,4,4,3,3,4,1,1,4,1,3,4,6,43,22261,FALSE,36.3694410122021,37,3.63758615972639,1.94591014905531
"dissatisfied","Loyal Customer",48,"Personal Travel","Eco",2014,3,2,3,4,4,3,4,4,1,5,3,4,3,4,0,0,22264,FALSE,-0.757464267002904,0,0,0
"satisfied","Loyal Customer",33,"Personal Travel","Eco",1370,1,1,1,1,5,5,5,5,4,4,5,5,4,5,28,29,22415,FALSE,0.83476036928721,1,0.693147180559945,3.36729582998647
"dissatisfied","Loyal Customer",51,"Personal Travel","Eco",2436,3,3,3,2,1,3,1,1,3,5,3,2,2,1,0,0,22769,FALSE,-0.757464267002904,0,0,0
"satisfied","Loyal Customer",31,"Personal Travel","Eco",2403,5,5,5,5,5,5,5,5,2,1,5,4,2,5,0,23,22770,FALSE,22.2425357329971,23,3.17805383034795,0
"dissatisfied","Loyal Customer",31,"Personal Travel","Eco",1906,3,3,3,2,5,3,5,5,5,1,1,5,5,5,0,0,22865,FALSE,-0.757464267002904,0,0,0
"satisfied","Loyal Customer",25,"Personal Travel","Eco Plus",2644,3,3,3,3,5,4,4,5,5,5,5,3,5,4,6,0,22987,FALSE,-6.63055898779788,-6,-1.94591014905531,1.94591014905531
"satisfied","Loyal Customer",70,"Personal Travel","Eco",1052,5,5,5,5,2,2,5,5,5,5,5,4,5,4,26,34,23027,FALSE,7.7924586095522,8,2.19722457733622,3.29583686600433
"satisfied","Loyal Customer",27,"Personal Travel","Eco",1660,5,3,5,5,5,5,5,5,1,2,5,3,2,5,0,1,23163,FALSE,0.242535732997096,1,0.693147180559945,0
"dissatisfied","Loyal Customer",60,"Personal Travel","Eco",1177,3,3,3,3,4,3,4,4,1,4,3,3,3,4,0,0,23265,FALSE,-0.757464267002904,0,0,0
"dissatisfied","Loyal Customer",16,"Personal Travel","Eco",1701,3,3,3,3,2,3,2,2,1,3,4,1,3,2,0,0,23326,FALSE,-0.757464267002904,0,0,0
"satisfied","Loyal Customer",64,"Personal Travel","Eco",1764,5,3,3,3,3,5,3,5,5,5,5,2,5,2,37,24,23426,FALSE,-12.9748817119053,-13,-2.63905732961526,3.63758615972639
"satisfied","Loyal Customer",14,"Personal Travel","Eco Plus",1729,1,1,1,1,2,4,5,5,5,5,5,5,5,3,33,38,23510,FALSE,4.94051476862473,5,1.79175946922805,3.52636052461616
"satisfied","Loyal Customer",66,"Personal Travel","Eco",411,4,4,4,4,4,1,5,5,5,5,5,5,5,2,0,0,23684,FALSE,-0.757464267002904,0,0,0
"dissatisfied","Loyal Customer",55,"Personal Travel","Business",233,3,3,3,4,2,3,3,1,1,3,1,2,1,4,15,14,23751,FALSE,-1.44020106899034,-1,-0.693147180559945,2.77258872223978
"dissatisfied","Loyal Customer",44,"Personal Travel","Eco",2363,3,3,3,5,4,3,4,4,2,2,5,1,3,4,0,9,23809,FALSE,8.2425357329971,9,2.30258509299405,0
"satisfied","Loyal Customer",51,"Personal Travel","Eco",203,5,5,5,5,2,5,4,5,5,5,5,4,5,3,0,0,23933,FALSE,-0.757464267002904,0,0,0
"dissatisfied","Loyal Customer",49,"Personal Travel","Eco",1304,3,4,0,3,3,0,3,3,4,5,3,4,4,3,0,0,23996,TRUE,-0.757464267002904,0,0,0
"dissatisfied","Loyal Customer",14,"Personal Travel","Eco",1465,3,4,1,5,4,1,4,4,2,2,2,5,4,4,28,29,24076,FALSE,0.83476036928721,1,0.693147180559945,3.36729582998647
"satisfied","Loyal Customer",9,"Personal Travel","Eco",2068,5,5,5,5,4,4,5,5,5,5,5,3,5,5,0,0,24195,FALSE,-0.757464267002904,0,0,0
"satisfied","Loyal Customer",23,"Personal Travel","Eco",2068,5,5,2,5,3,4,4,5,5,5,5,4,5,3,0,0,24208,FALSE,-0.757464267002904,0,0,0
"satisfied","Loyal Customer",27,"Personal Travel","Eco",2412,2,2,2,2,4,5,5,5,5,5,5,5,5,5,27,33,24395,FALSE,5.8136094894197,6,1.94591014905531,3.3322045101752
"dissatisfied","Loyal Customer",7,"Personal Travel","Eco",2100,3,4,3,1,1,3,1,1,4,4,5,4,5,1,0,5,24492,FALSE,4.2425357329971,5,1.79175946922805,0
"dissatisfied","Loyal Customer",57,"Personal Travel","Eco Plus",2115,3,4,3,1,2,3,2,2,5,3,5,4,5,2,0,0,24548,FALSE,-0.757464267002904,0,0,0
"dissatisfied","Loyal Customer",26,"Personal Travel","Eco",1470,3,4,3,1,2,3,2,2,3,4,4,4,5,2,4,0,24574,FALSE,-4.67286074753289,-4,-1.6094379124341,1.6094379124341
"dissatisfied","Loyal Customer",26,"Personal Travel","Eco",1442,3,4,3,1,5,3,1,5,5,5,2,2,2,5,0,0,24633,FALSE,-0.757464267002904,0,0,0
"dissatisfied","Loyal Customer",19,"Personal Travel","Eco",1731,3,4,3,1,2,3,2,2,5,3,5,3,4,2,0,29,24711,FALSE,28.2425357329971,29,3.40119738166216,0
"satisfied","Loyal Customer",15,"Personal Travel","Eco",2037,2,2,2,2,5,4,5,5,5,5,5,5,5,3,1,1,24727,FALSE,-0.7363133871354,0,0,0.693147180559945
"dissatisfied","Loyal Customer",68,"Personal Travel","Eco",3152,3,4,3,2,3,4,4,4,4,5,4,4,5,4,213,186,24988,FALSE,-23.2523268552245,-27,-3.3322045101752,5.36597601502185
"dissatisfied","Loyal Customer",27,"Personal Travel","Business",1829,3,4,3,2,2,3,2,2,3,1,2,2,3,2,0,0,25085,FALSE,-0.757464267002904,0,0,0
"satisfied","Loyal Customer",30,"Personal Travel","Eco Plus",2151,2,2,2,2,5,4,4,5,5,5,5,5,5,3,0,0,25086,FALSE,-0.757464267002904,0,0,0
"dissatisfied","Loyal Customer",65,"Personal Travel","Eco",2292,3,4,3,2,3,3,3,3,3,2,5,5,4,3,0,8,25090,FALSE,7.2425357329971,8,2.19722457733622,0
"dissatisfied","Loyal Customer",39,"Personal Travel","Eco",2403,3,4,3,2,1,3,1,1,4,2,5,3,5,1,2,0,25209,FALSE,-2.71516250726789,-2,-1.09861228866811,1.09861228866811
"satisfied","Loyal Customer",54,"Personal Travel","Business",620,1,1,1,1,5,5,5,5,1,4,5,1,1,5,0,0,25253,FALSE,-0.757464267002904,0,0,0
"satisfied","Loyal Customer",46,"Personal Travel","Eco",558,5,5,5,5,3,4,4,5,5,5,5,3,5,5,0,1,25284,FALSE,0.242535732997096,1,0.693147180559945,0
"satisfied","Loyal Customer",19,"Personal Travel","Eco Plus",1977,3,3,3,3,5,5,5,5,3,2,5,3,3,5,0,0,25408,FALSE,-0.757464267002904,0,0,0
"satisfied","Loyal Customer",20,"Personal Travel","Eco",3194,5,5,5,5,3,5,4,5,5,5,5,2,5,4,0,2,25604,FALSE,1.2425357329971,2,1.09861228866811,0
"dissatisfied","Loyal Customer",8,"Personal Travel","Eco",2545,3,4,3,3,5,3,2,5,4,3,2,2,4,5,0,0,25731,FALSE,-0.757464267002904,0,0,0
"satisfied","Loyal Customer",12,"Personal Travel","Eco",2571,4,4,4,4,5,4,4,5,5,5,5,4,5,3,0,0,25737,FALSE,-0.757464267002904,0,0,0
"satisfied","Loyal Customer",58,"Personal Travel","Eco",1104,4,4,5,4,2,5,5,5,5,5,5,5,5,4,33,36,25795,FALSE,2.94051476862473,3,1.38629436111989,3.52636052461616
"dissatisfied","Loyal Customer",13,"Personal Travel","Eco",2578,3,4,3,3,3,5,2,3,3,5,5,2,3,2,157,142,25944,FALSE,-12.4367761278048,-15,-2.77258872223978,5.06259503302697
"dissatisfied","Loyal Customer",21,"Personal Travel","Eco",1989,3,4,3,3,1,3,1,1,4,2,4,3,3,1,0,0,25951,FALSE,-0.757464267002904,0,0,0
"dissatisfied","Loyal Customer",59,"Personal Travel","Eco",2616,3,4,3,3,5,3,5,5,3,4,4,5,5,5,0,0,25965,FALSE,-0.757464267002904,0,0,0
"dissatisfied","Loyal Customer",60,"Personal Travel","Business",741,3,4,3,3,2,5,4,1,1,3,1,3,1,5,70,61,26070,FALSE,-8.27690267627762,-9,-2.30258509299405,4.26267987704132
"dissatisfied","Loyal Customer",31,"Personal Travel","Eco",2104,3,4,3,3,1,3,4,1,4,2,5,4,5,1,0,0,26109,FALSE,-0.757464267002904,0,0,0
"satisfied","Loyal Customer",68,"Personal Travel","Business",655,5,5,5,5,1,3,5,5,5,5,5,5,5,5,24,17,26122,FALSE,-7.24984315018281,-7,-2.07944154167984,3.2188758248682
"dissatisfied","Loyal Customer",51,"Personal Travel","Eco",2304,3,4,3,3,5,3,2,5,4,4,5,4,5,5,29,8,26204,FALSE,-21.1440887508453,-21,-3.09104245335832,3.40119738166216
"dissatisfied","Loyal Customer",48,"Personal Travel","Business",536,3,4,3,3,3,5,5,5,5,3,4,3,5,3,2,0,26298,FALSE,-2.71516250726789,-2,-1.09861228866811,1.09861228866811
"dissatisfied","Loyal Customer",50,"Personal Travel","Eco",1373,3,4,3,3,3,3,3,3,4,2,5,4,4,3,9,4,26494,FALSE,-5.56710634819537,-5,-1.79175946922805,2.30258509299405
"dissatisfied","Loyal Customer",69,"Personal Travel","Eco",1561,3,4,3,3,4,3,3,4,1,1,4,4,4,4,0,0,26660,FALSE,-0.757464267002904,0,0,0
"satisfied","Loyal Customer",69,"Personal Travel","Eco",231,4,5,4,4,5,4,5,5,5,5,5,3,5,5,13,18,26679,FALSE,4.51749717127465,5,1.79175946922805,2.63905732961526
"dissatisfied","Loyal Customer",12,"Personal Travel","Eco",1101,3,4,3,3,4,3,4,4,3,3,4,2,4,4,6,17,26700,FALSE,10.3694410122021,11,2.484906649788,1.94591014905531
"satisfied","Loyal Customer",60,"Personal Travel","Eco",2271,3,1,3,3,3,4,5,5,5,5,5,4,5,3,0,0,26774,FALSE,-0.757464267002904,0,0,0
"satisfied","Loyal Customer",29,"Personal Travel","Eco",2975,1,1,5,1,5,1,4,5,5,5,5,1,5,5,0,7,26801,FALSE,6.2425357329971,7,2.07944154167984,0
"satisfied","Loyal Customer",68,"Personal Travel","Eco",1792,1,1,1,1,2,4,4,5,5,5,5,5,5,4,0,0,26808,FALSE,-0.757464267002904,0,0,0
"satisfied","Loyal Customer",23,"Personal Travel","Eco",2381,2,2,2,2,2,5,4,5,5,5,5,5,5,3,0,8,26986,FALSE,7.2425357329971,8,2.19722457733622,0
"dissatisfied","Loyal Customer",58,"Personal Travel","Eco Plus",1955,3,4,3,4,4,3,4,4,1,4,4,2,3,4,0,0,27028,FALSE,-0.757464267002904,0,0,0
"dissatisfied","Loyal Customer",11,"Personal Travel","Eco",2243,3,4,3,4,3,3,3,3,5,4,4,4,4,3,17,11,27061,FALSE,-6.39789930925533,-6,-1.94591014905531,2.89037175789616
"satisfied","Loyal Customer",11,"Personal Travel","Eco",1923,5,5,5,5,5,5,5,5,2,2,2,3,2,5,0,0,27163,FALSE,-0.757464267002904,0,0,0
"satisfied","Loyal Customer",12,"Personal Travel","Eco",2181,2,2,2,2,2,4,5,5,5,5,5,5,5,5,80,70,27172,FALSE,-9.06539387760257,-10,-2.39789527279837,4.39444915467244
"satisfied","Loyal Customer",29,"Personal Travel","Eco",1931,3,3,3,3,3,4,5,5,5,5,5,5,5,4,7,10,27227,FALSE,2.39059189206962,3,1.38629436111989,2.07944154167984
"satisfied","Loyal Customer",67,"Personal Travel","Eco",600,1,1,1,1,5,5,5,5,5,1,4,3,3,5,0,0,27277,FALSE,-0.757464267002904,0,0,0
"dissatisfied","Loyal Customer",42,"Personal Travel","Eco",1252,3,4,3,4,5,3,5,5,2,4,4,1,5,5,0,2,27283,FALSE,1.2425357329971,2,1.09861228866811,0
"dissatisfied","Loyal Customer",60,"Personal Travel","Eco",1876,3,4,3,4,2,3,3,2,4,3,5,3,4,2,0,0,27323,FALSE,-0.757464267002904,0,0,0
"satisfied","Loyal Customer",46,"Personal Travel","Eco",457,5,5,5,5,3,4,4,5,5,5,5,5,5,4,0,0,27360,FALSE,-0.757464267002904,0,0,0
"dissatisfied","Loyal Customer",36,"Personal Travel","Eco",1803,3,4,3,4,4,3,4,4,5,2,5,3,5,4,54,57,27443,FALSE,3.38468324584231,3,1.38629436111989,4.00733318523247
"dissatisfied","Loyal Customer",45,"Personal Travel","Eco",1685,3,4,3,4,1,3,1,1,3,3,4,5,4,1,0,0,27588,FALSE,-0.757464267002904,0,0,0
"satisfied","Loyal Customer",64,"Personal Travel","Eco",94,4,4,4,4,3,5,4,5,5,5,5,3,5,3,0,0,27610,FALSE,-0.757464267002904,0,0,0
"dissatisfied","Loyal Customer",40,"Personal Travel","Eco",2986,3,4,3,5,3,3,3,3,3,3,4,3,5,3,18,7,27653,FALSE,-11.3767484293878,-11,-2.484906649788,2.94443897916644
"dissatisfied","Loyal Customer",14,"Personal Travel","Eco",2086,3,4,3,5,3,3,3,3,3,4,5,4,4,3,0,0,27755,FALSE,-0.757464267002904,0,0,0
"dissatisfied","Loyal Customer",44,"Personal Travel","Eco",2893,3,4,4,3,1,4,1,1,3,5,5,3,5,1,0,0,28023,FALSE,-0.757464267002904,0,0,0
"dissatisfied","Loyal Customer",26,"Personal Travel","Eco",1810,3,4,4,3,1,4,1,1,2,5,2,5,4,1,0,0,28066,FALSE,-0.757464267002904,0,0,0
"dissatisfied","Loyal Customer",27,"Personal Travel","Eco",2230,3,4,5,1,5,5,5,5,4,3,5,2,2,5,0,0,28148,FALSE,-0.757464267002904,0,0,0
"dissatisfied","Loyal Customer",67,"Personal Travel","Eco",2761,3,5,2,1,1,2,1,1,5,4,4,4,5,1,33,24,28312,FALSE,-9.05948523137527,-9,-2.30258509299405,3.52636052461616
"satisfied","Loyal Customer",54,"Personal Travel","Eco",1535,5,1,1,1,1,4,2,5,5,5,5,1,5,5,0,0,28544,FALSE,-0.757464267002904,0,0,0
"satisfied","Loyal Customer",24,"Personal Travel","Eco",2036,1,1,3,1,2,5,4,5,5,5,5,5,5,4,0,0,28624,FALSE,-0.757464267002904,0,0,0
"dissatisfied","Loyal Customer",25,"Personal Travel","Eco",1979,3,5,3,1,5,3,5,5,3,2,4,3,5,5,16,23,28669,FALSE,6.58094981087716,7,2.07944154167984,2.83321334405622
"satisfied","Loyal Customer",18,"Personal Travel","Eco",2107,5,1,1,1,5,5,1,5,5,5,5,1,5,2,0,0,28740,FALSE,-0.757464267002904,0,0,0
"dissatisfied","Loyal Customer",31,"Personal Travel","Eco",1598,3,5,3,1,1,3,1,1,5,4,4,5,5,1,0,0,28961,FALSE,-0.757464267002904,0,0,0
"dissatisfied","Loyal Customer",31,"Personal Travel","Eco",2144,3,5,3,1,3,1,1,5,3,3,1,1,4,1,164,156,29031,FALSE,-5.28871996873225,-8,-2.19722457733622,5.10594547390058
"dissatisfied","Loyal Customer",69,"Personal Travel","Eco",1286,3,5,3,1,1,3,1,1,5,4,4,5,4,1,0,0,29045,FALSE,-0.757464267002904,0,0,0
"satisfied","Loyal Customer",49,"Personal Travel","Eco",975,3,3,3,3,2,4,5,5,5,5,5,5,5,5,8,0,29302,FALSE,-8.58825722806287,-8,-2.19722457733622,2.19722457733622
"satisfied","Loyal Customer",49,"Personal Travel","Eco Plus",382,1,1,1,1,4,4,4,5,5,5,5,4,5,5,0,0,29647,FALSE,-0.757464267002904,0,0,0
"satisfied","Loyal Customer",25,"Personal Travel","Eco",3128,2,2,2,2,2,5,4,5,5,5,5,3,5,4,0,0,29818,FALSE,-0.757464267002904,0,0,0
"dissatisfied","Loyal Customer",29,"Personal Travel","Eco",3438,3,5,3,3,4,3,4,4,4,4,5,3,4,4,1,0,29824,FALSE,-1.7363133871354,-1,-0.693147180559945,0.693147180559945
"satisfied","Loyal Customer",21,"Personal Travel","Eco",2523,2,2,2,2,2,1,2,5,5,5,5,2,5,3,3,0,29872,FALSE,-3.69401162740039,-3,-1.38629436111989,1.38629436111989
"dissatisfied","Loyal Customer",35,"Personal Travel","Eco",2465,3,5,3,3,4,3,4,4,2,1,4,2,4,4,31,46,29894,FALSE,14.8982130088897,15,2.77258872223978,3.46573590279973
"dissatisfied","Loyal Customer",19,"Personal Travel","Eco",1686,3,5,3,3,2,3,4,2,4,3,5,4,5,2,0,0,30189,FALSE,-0.757464267002904,0,0,0
"satisfied","Loyal Customer",23,"Personal Travel","Eco",2146,5,1,4,1,3,5,2,5,5,5,5,3,5,4,1,1,30215,FALSE,-0.7363133871354,0,0,0.693147180559945
"satisfied","Loyal Customer",58,"Personal Travel","Eco Plus",415,2,2,2,2,4,4,4,5,5,5,5,3,5,4,0,0,30483,FALSE,-0.757464267002904,0,0,0
"satisfied","Loyal Customer",67,"Personal Travel","Eco",302,2,2,3,2,5,4,5,5,5,5,5,5,5,5,0,0,30575,FALSE,-0.757464267002904,0,0,0
"dissatisfied","Loyal Customer",28,"Personal Travel","Eco Plus",2193,3,5,3,3,5,3,5,5,3,2,5,4,5,5,32,52,30594,FALSE,19.9193638887572,20,3.04452243772342,3.49650756146648
"dissatisfied","Loyal Customer",68,"Personal Travel","Eco",1679,3,5,3,3,1,3,1,1,5,5,5,3,4,1,0,0,30638,FALSE,-0.757464267002904,0,0,0
"satisfied","Loyal Customer",67,"Personal Travel","Eco",82,2,2,2,2,5,5,4,5,5,5,5,4,5,5,0,0,30670,FALSE,-0.757464267002904,0,0,0
"dissatisfied","Loyal Customer",62,"Personal Travel","Eco",1444,3,5,3,4,2,3,2,2,3,4,2,2,1,2,16,18,31097,FALSE,1.58094981087716,2,1.09861228866811,2.83321334405622
"dissatisfied","Loyal Customer",69,"Personal Travel","Eco",1554,3,5,3,4,5,3,5,5,2,3,5,2,4,5,0,0,31116,FALSE,-0.757464267002904,0,0,0
"dissatisfied","Loyal Customer",20,"Personal Travel","Eco",1442,3,5,3,4,4,3,4,4,4,3,5,3,4,4,0,0,31125,FALSE,-0.757464267002904,0,0,0
"dissatisfied","Loyal Customer",14,"Personal Travel","Business",4027,3,5,3,5,3,3,3,3,4,2,4,3,5,3,89,73,31352,FALSE,-14.875035958795,-16,-2.83321334405622,4.49980967033027
"dissatisfied","Loyal Customer",14,"Personal Travel","Eco",3997,3,5,3,5,1,3,1,1,4,5,2,3,1,1,16,0,31355,FALSE,-16.4190501891228,-16,-2.83321334405622,2.83321334405622
